job_number,address,address_house,address_street,latitude,longitude,ycoord,xcoord,bin,bbl,boro,block,lot,dob_type,job_type,job_description,dcp_occ_category,occ_init,occ_prop,dob_occ_init,dob_occ_prop,dcp_status,dob_status,status_date,status_a,status_a_year,status_d,status_p,status_q,status_q_year,status_r,status_x,dob_bldg_type,stories_init,stories_prop,zoningsft_init,zoningsft_prop,units_init,units_prop,units_net,units_net_complete,units_net_incomplete,earliest_effectivedate,latest_effectivedate,latest_certtype,latest_cofo,u_2007_existtotal,u_2008_existtotal,u_2009_existtotal,u_2010pre_existtotal,u_2010post_existtotal,u_2011_existtotal,u_2012_existtotal,u_2013_existtotal,u_2014_existtotal,u_2015_existtotal,u_2016_existtotal,u_2017_existtotal,u_2018_existtotal,unit_change_2007,unit_change_2008,unit_change_2009,unit_change_preapr2010,unit_change_postapr2010,unit_change_2011,unit_change_2012,unit_change_2013,unit_change_2014,unit_change_2015,unit_change_2016,unit_change_2017,unit_change_2018,u_2007_netcomplete,u_2008_netcomplete,u_2009_netcomplete,u_2010pre_netcomplete,u_2010post_netcomplete,u_2011_netcomplete,u_2012_netcomplete,u_2013_netcomplete,u_2014_netcomplete,u_2015_netcomplete,u_2016_netcomplete,u_2017_netcomplete,u_2018_netcomplete,geo_cd,geo_ntacode,geo_ntaname,geo_censusblock,geo_csd,f_pfirms2015_100yr,x_dcpedited,x_mixeduse,x_dup_flag,x_dup_id,x_dup_maxstatusdate,x_dup_maxcofodate,x_geomsource,x_occsource,x_inactive,x_outlier,x_withdrawal,geom
103111393,7 HUBERT STREET,7,HUBERT STREET,40.721367,-74.008911,,,1086551,1002140750,MANHATTAN,00214,07503,NB,New Building,,Residential,Empty Lot,Residential: Multi-Family,,J-2,Complete,SIGNED OFF,03/12/2015 12:00:00 AM,03/20/2002,2002,04/03/2002,05/19/2004,2002-11-21,1-21,04/23/2003,03/12/2015,OTHERS,0,14,0,0,0,31,31,31,0,2007-03-28,2015-03-12,C- CO,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
103126742,5 COLLISTER STREET,5,COLLISTER STREET,40.721043,-74.009232,,,1086551,1002140750,MANHATTAN,00214,07503,NB,New Building,,Residential,Empty Lot,Residential: 1 & 2 Family,,J-3,Complete,SIGNED OFF,04/27/2015 12:00:00 AM,03/28/2002,2002,04/03/2002,02/28/2003,2003-03-10,3-10,09/12/2003,04/27/2015,OTHERS,0,2,0,0,0,2,2,2,0,2008-10-01,2015-04-27,C- CO,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
104422983,339 WEST 39 STREET,339,WEST 39 STREET,40.755841,-73.992370,,,1087499,1007630001,MANHATTAN,00763,00013,NB,New Building,,Other,Empty Lot,Hotel or Dormitory,,J-1,Complete,SIGNED OFF,01/18/2012 12:00:00 AM,05/03/2006,2006,05/10/2006,02/15/2007,2007-02-28,2-28,05/01/2007,01/18/2012,OTHERS,0,32,0,0,0,0,0,0,0,2009-05-29,2012-01-18,C- CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,1,
104422992,337 WEST 39 STREET,337,WEST 39 STREET,40.755825,-73.992330,,,1087499,1007630001,MANHATTAN,00763,00014,NB,New Building,,Other,Empty Lot,Hotel or Dormitory,,J-1,Complete,SIGNED OFF,04/25/2012 12:00:00 AM,05/11/2006,2006,05/11/2006,02/15/2007,2007-02-28,2-28,05/01/2007,04/25/2012,OTHERS,0,32,0,0,0,0,0,0,0,2009-04-13,2012-04-25,C- CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
104563394,331 EAST 91 STREET,331,EAST 91 STREET,40.780706,-73.948553,,,1087665,1015540003,MANHATTAN,01554,00032,NB,New Building,,Other,Empty Lot,Educational,,G,Complete,SIGNED OFF,04/20/2012 12:00:00 AM,10/12/2006,2006,10/13/2006,08/31/2007,2007-10-17,0-17,05/15/2008,04/20/2012,OTHERS,0,5,0,0,0,,,,,2010-05-28,2012-04-20,C- CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,0,
104563401,335 EAST 91 STREET,335,EAST 91 STREET,40.780678,-73.948484,,,1087665,1015540002,MANHATTAN,01554,00023,NB,New Building,,Residential,Empty Lot,Residential: Multi-Family,,J-2,Permit issued,PERMIT ISSUED - ENTIRE JOB/WORK,10/31/2014 12:00:00 AM,10/12/2006,2006,10/12/2006,07/12/2007,2007-07-27,7-27,10/25/2007,,OTHERS,0,32,0,0,0,113,113,105,,2010-03-17,2018-04-09,T- TCO,105,0,0,0,0,0,117,112,113,105,105,105,105,105,0,0,0,0,0,117,-5,1,-8,0,0,0,0,-113,-113,-113,-113,-113,4,-1,0,-8,-8,-8,-8,-8,,,,,,,,,,,,,,,false,,0,
104247307,25 COOPER SQUARE,25,COOPER SQUARE,40.727793,-73.991225,,,1087921,1004610000,MANHATTAN,00461,00001,NB,New Building,,Other,Empty Lot,Hotel or Dormitory,,J-1,Complete,SIGNED OFF,06/04/2015 12:00:00 AM,09/29/2005,2005,10/14/2005,04/17/2007,2006-12-06,2-06,05/17/2007,06/04/2015,OTHERS,0,21,0,0,0,145,145,145,0,2008-12-10,2015-06-04,C- CO,145,0,1,2,2,2,2,0,0,0,145,145,145,145,0,1,1,0,0,0,-2,0,0,145,0,0,0,-145,-144,-143,-143,-143,-143,-145,-145,-145,0,0,0,0,,,,,,,,,,,,,,,false,,0,
104273279,33 COOPER SQUARE,33,COOPER SQUARE,40.728116,-73.990958,,,1087921,1004610000,MANHATTAN,00461,00005,NB,New Building,,Other,Empty Lot,Hotel or Dormitory,,J-1,Complete,SIGNED OFF,02/13/2013 12:00:00 AM,10/28/2005,2005,10/31/2005,02/28/2007,2007-03-23,3-23,08/20/2007,02/13/2013,OTHERS,0,4,0,0,0,21,21,21,0,2010-12-13,2013-02-13,C- CO,21,0,0,0,0,0,0,0,21,21,21,21,21,21,0,0,0,0,0,0,0,21,0,0,0,0,0,-21,-21,-21,-21,-21,-21,-21,0,0,0,0,0,0,,,,,,,,,,,,,,,false,,0,
104555198,450 EAST 29 STREET,450,EAST 29 STREET,40.739949,-73.974126,,,1087989,1009620009,MANHATTAN,00962,00099,NB,New Building,,Other,Empty Lot,"Industrial, Storage & Utilities",,D-2,Permit issued,PERMIT ISSUED - ENTIRE JOB/WORK,01/07/2011 12:00:00 AM,09/25/2006,2006,09/25/2006,02/04/2008,2008-02-26,2-26,03/03/2008,,OTHERS,0,17,0,0,0,,,,,2009-12-18,2018-05-29,T- TCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,0,
104894189,430 EAST 29TH ST,430,EAST 29TH ST,40.740048,-73.974368,,,1087989,1009620009,MANHATTAN,00962,00099,NB,New Building,,Other,Empty Lot,"Industrial, Storage & Utilities",,D-2,Permit issued,PERMIT ISSUED - ENTIRE JOB/WORK,01/24/2014 12:00:00 AM,09/07/2007,2007,10/03/2007,08/13/2008,2008-08-13,8-13,06/05/2009,,OTHERS,0,17,0,379202,0,,,,,2013-12-20,2018-05-31,T- TCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,0,
